palavra,relevancia
brás,11.452019323951728
atacado,11.030672564858126
yoshimura,10.87865034936942
moda,10.778542356498706
júlio,10.74031329906615
cirurgia,10.644478712140538
festa,10.53229169069633
do,10.519992220530296
plástica,10.50467772513723
e,10.490339400536072
de,10.333032742013385
porto,10.311194950931988
portal,10.137873059865802
julio,10.054602968520362
buffet,9.990960586294744
guia,9.973884971056698
cesar,9.941265649881808
feminina,9.92938197624775
feirinha,9.916530441216992
rudge,9.892928468406298
melhor,9.88017150555811
césar,9.869316017949703
serve,9.850966848905701
madrugada,9.750515321939798
express,9.748576018863105
o,9.725560781175767
ramos,9.706790324075822
factoring,9.627844375739313
da,9.589586579490621
festim,9.568844895843743
comercial,9.511114195942138
money,9.406067013406496
festan,9.395556301143587
bijoux,9.360029338087735
retiro,9.357719663945714
no,9.343774060385881
gestante,9.289813555430177
são,9.260527969066395
em,9.152168964317733
lojas,9.1334942890141
categoria,9.13221104552421
bernardo,9.07986683784858
ulx,9.0727631861731
infantil,9.037666465407165
caetano,9.017197733916408
classificados,8.981713569306326
paulo,8.980347346912891
acessórios,8.96929063600248
plastica,8.969244225241363
bom,8.948269593670437
espetinhos,8.943894445623037
casamento,8.926391341268225
sul,8.848817291774493
bras,8.839644163907847
design,8.79369782132178
anúncios,8.792115163615483
sites,8.762131043257085
que,8.758393947418341
oficial,8.739119812002565
masculina,8.737822035277821
cerealista,8.710537642763951
malas,8.677785678334166
diadema,8.672354984273296
jeans,8.671131858877391
para,8.657934350876493
seu,8.606242465569904
cartão,8.60356177978494
eles,8.600823592600563
calçados,8.599920681453893
couro,8.5502975984331
a,8.52778789562919
pousadas,8.49895760401919
dinheiro,8.496934976172446
dr,8.47703794486328
fitness,8.464592053045124
motor,8.446343622576578
moradia,8.446343622576578
grande,8.446341129261553
santo,8.433894462631697
zona,8.419967672706512
campo,8.413651790973928
markimplast,8.40401432556196
tecnokom,8.398218319195562
íntima,8.350541412595469
care,8.34627781441914
festas,8.322264517655563
evangélica,8.318363913907156
service,8.317954348982429
esportiva,8.294169040246786
ganhar,8.280048772266806
comunidade,8.262574315731944
locais,8.259515524123413
sp,8.259394863848511
março,8.244584190751084
futebol,8.225033307879436
universal,8.213035317111371
brasil,8.200651154594924
varejo,8.196286491119574
igreja,8.185811880679427
artigos,8.178015421231528
