palavra,relevancia
hack,24.247867906213198
hackear,22.54999185651598
wieser,22.317867751278314
jcp,21.933168073036114
aprendiz,21.664970517348042
hackers,21.585819927546456
pm,21.501196862119198
cialis,21.39064592527194
sáb,21.356367487300744
hacking,21.35220071102009
qua,21.320144578917663
varanda,21.198809307787535
responderexcluir,21.179065498616097
multiplus,21.131297819392532
remotamente,21.07519518842013
viagra,21.07468426679221
maru,21.068848387685147
am,21.042884539367467
at,20.822285991737832
innerwear,20.8185716375717
atm,20.785937619649197
var,20.784649194038487
interceptação,20.782124815369453
emprego,20.7224626007798
açu,20.705583449092455
milhas,20.554931799901404
saldos,20.51159004540788
verificadas,20.46982222260072
júlio,20.432132292462722
vagas,20.373887117502004
unknownuser,20.28891541203115
qui,20.25016603872629
really,20.155559326512616
ago,20.142096527873104
brás,20.141448492466687
criminais,20.084397945630776
responder,20.017965028824964
atacado,20.01185536683096
células,19.98623107177629
yoshimura,19.96872999892915
estadão,19.96711756668202
zoggs,19.947904166194512
crashed,19.943479283392033
festa,19.92901981392299
abr,19.924494584561106
på,19.90890391744405
jul,19.906569130966446
コピー,19.90499284802975
buffet,19.873545529932244
pirateiam,19.84696328716614
å,19.83480178997823
rudge,19.821273976559826
tyr,19.789306114793654
porto,19.78112447560418
feirinha,19.755716917526534
serve,19.669398120826827
nov,19.667922550575337
madrugada,19.629665345734093
factoring,19.55664341510946
dolfin,19.54346358509671
jewellerywatches,19.49121588319783
lideres,19.484774564172668
festim,19.47858513020937
paraguai,19.472316882798513
ramos,19.467808400310062
express,19.46362443442617
netshoes,19.452123644580364
skype,19.41290870362983
jun,19.411733556605054
fev,19.40995775559044
cirurgia,19.39657778622359
individuais,19.392652882666965
til,19.37879177739866
found,19.36584393677816
bancárias,19.3646303674674
been,19.361019485462304
respostas,19.3333666935498
plástica,19.29248178584834
giuli,19.277441968446812
retiro,19.232635313965414
money,19.221361292485135
penetração,19.215604905360614
armênia,19.208897902149747
alcance,19.206623321190232
festan,19.203161979356498
blindada,19.174546827607394
instituto,19.170451127147576
bookmark,19.169098409806523
penetrar,19.148618017626443
pires,19.14836582835584
seg,19.14307733235974
dispositivos,19.133877307036066
ribeirão,19.1324855244031
that,19.10916071744278
caetano,19.092361800664243
sudene,19.09110033971463
wallets,19.08990167541401
contas,19.088156138657578
thank,19.08620846066458
julio,19.07851551029106
