palavra,relevancia
responder,10.098344440037677
de,9.660191857357972
respostas,9.487678605927318
live,9.178606710602917
chat,8.97705230365155
online,8.838884343268518
in,8.709178656423331
best,8.706753399875799
rural,8.684017695373203
carne,8.6121651190159
do,8.585856847221093
leite,8.579229989880258
e,8.45029839836471
que,8.40548609075852
o,8.38989685589856
da,8.387865522040435
reviews,8.358179099288717
às,8.3486214154355
a,8.289305690683051
agro,8.257133566300384
free,8.226511881362455
2013,8.22215195655191
link,8.127662625425852
2014,8.116770011899934
how,8.092677541735206
embrapa,8.034563065274499
this,8.030146607046994
soja,8.018519748637852
to,7.975094465340579
agricultura,7.952049550454051
livro,7.945838326110197
março,7.9067598697612045
2018,7.902533213796136
web,7.894571441738098
comentário,7.85634320508011
para,7.826295047853147
the,7.816761555573958
no,7.785865776103983
agrícola,7.779182788022524
em,7.762521294508923
2020,7.7539850185537835
is,7.749094989286898
j.,7.74232384078243
café,7.725763179392452
my,7.648518482825363
dieta,7.638926132472415
me,7.637139044347463
não,7.636784332673054
2016,7.6364970340620735
é,7.625519527333335
um,7.621433888979639
i,7.614127995973009
mobile,7.613346143837143
website,7.600475080909401
gordura,7.599935836754237
for,7.594723034193807
cash,7.589906170432898
com,7.56276572898486
2017,7.540484252440234
alimentos,7.527088131425591
custo,7.5141835022477705
your,7.50834475797896
livros,7.504310904592207
sites,7.4983165339432
setembro,7.489652644488902
you,7.488731911811918
brasil,7.488315245584191
of,7.483612194329376
crise,7.472921087832524
0,7.469416615284079
hd,7.464155657574377
2019,7.445978122092895
eu,7.435319434981414
janeiro,7.419710452576961
ou,7.41225249981192
das,7.400227914881202
and,7.384964979563028
-,7.37467609498512
paulo,7.368262386712517
line,7.361541086690502
uma,7.342611446192483
cursos,7.337258519627624
julho,7.333921956775988
up,7.322108093676324
curso,7.290584525678727
dia,7.2894061005494635
fundo,7.27146340724454
mas,7.260819839744753
na,7.258198628344087
junho,7.253763223949258
rafael,7.238681675073837
comissão,7.236670403532636
mundial,7.230612365503869
easy,7.206098406448926
hot,7.206098406448926
marcos,7.205843881897
câmara,7.201786947485366
site,7.199060619604554
dos,7.196712688675617
carlos,7.1742089054458855
