palavra,relevancia
responder,11.426943364266196
partir,11.025485781211325
às,10.375051027419753
vc,10.310292078914369
de,10.227591823533038
i,10.176003145250547
to,10.092709388683216
the,10.022386243739186
you,9.962394865510396
this,9.784146127733429
for,9.775160504019269
brides,9.763135024956975
e,9.697533226837008
a,9.60491067274019
que,9.604165865244429
dating,9.493091315695958
+,9.4798864010927
loans,9.473707631263458
and,9.467489449407944
your,9.453511047247755
in,9.349434329631851
be,9.339891678699518
abril,9.30778214390452
do,9.296478397117696
bride,9.27448606262811
teste,9.242759467674261
of,9.202651612101999
.,9.195871513157906
like,9.180156092435423
essay,9.170387899601106
russian,9.12905521048086
ukrainian,9.107463540103787
is,9.106335815265966
eles,9.063368398020188
really,9.051845353774754
will,9.042771175833586
2010,9.024831482472763
at,9.013425646672022
fiz,8.991010921155912
cartão,8.988472673580992
no,8.988274977164222
-,8.983442386050225
mail,8.95159001216591
that,8.94584021565792
o,8.919630448106895
eu,8.878228169191692
on,8.8645560547101
it,8.855000676301792
order,8.849949423365057
asian,8.823750963681274
my,8.795805331198316
deu,8.782142892240122
r$,8.75263064709058
can,8.743959011214379
best,8.743702116251939
2020,8.723659679955071
women,8.675476136442986
ver,8.651694156438063
more,8.64985559463534
tudo,8.64930113369833
um,8.62992827861492
payday,8.6121651190159
latin,8.600799037585942
*,8.599359480433446
i’m,8.599327500601753
have,8.58099940655997
em,8.55571237079578
very,8.540220740421743
with,8.523143369259847
writing,8.491106068868136
é,8.478054396067868
installment,8.469190293794759
com,8.45080920735773
respostas,8.449126689269153
categoria,8.442616645392851
uma,8.44200671324797
not,8.428789072137933
online,8.42251504014401
me,8.418759421817064
thanks,8.410806993105313
how,8.405465312123843
read,8.402800964410579
para,8.35698184523922
just,8.322162396666586
some,8.30772972526425
thank,8.284251979531405
ele,8.255571510281431
22,8.255545339079301
en,8.228194025664637
da,8.208830777252631
não,8.194777811760508
if,8.161834279359558
know,8.155627093572825
are,8.154055978413528
meu,8.151603823075504
website,8.148767898496079
time,8.136740310194027
great,8.13628375689434
web,8.121308071398573
pra,8.11898827675952
