palavra,relevancia
jesus,10.13216012063593
the,10.091247799250318
de,9.913056277520583
of,9.806075775739197
da,9.520874434985048
and,9.512820029051598
e,9.398746238117965
to,9.370471674933851
a,9.307416934642147
in,9.283448512093862
do,9.156665432407625
o,9.12757351551166
maio,8.965194909018404
for,8.84046648556645
john,8.775276399296596
que,8.739688368075488
that,8.734676008524842
às,8.536210216915977
escola,8.493888873491759
deus,8.493888873491759
em,8.443878080191961
festa,8.440635712932078
dos,8.433476603900946
is,8.374019647887227
with,8.373016845651916
para,8.179411521237675
não,8.161103301738983
at,8.067673741166534
os,8.051070094686162
are,8.004108041891627
as,7.99714482753835
é,7.995120163803907
on,7.970818374812755
joão,7.901601913915839
na,7.901018615018701
no,7.884313178308065
be,7.877497417965958
história,7.871331424993005
um,7.853986079199571
david,7.8461524747898315
com,7.830207501116195
from,7.745120752773203
novo,7.743489040200581
new,7.688403611653373
daniel,7.63476126286723
josé,7.627034295666336
have,7.609555018549284
se,7.607158074054598
uma,7.601419964334435
i,7.600629069576028
this,7.594091787429006
livro,7.547035499838774
como,7.541757701361466
you,7.5327707686698
it,7.516794089217438
paulo,7.493749873413449
who,7.490187191169069
dias,7.485866213092516
an,7.441826267133889
andré,7.436424463913848
online,7.432140064113795
das,7.418001723369616
eu,7.366209688808279
but,7.349309056723882
james,7.317432199538147
paul,7.297213922002627
not,7.278876978201411
pra,7.274344159604336
all,7.247274800658219
santos,7.236670403532636
mais,7.231530496699748
post,7.21831029542979
mas,7.188443813943986
filme,7.163728126843714
brasil,7.153451577162764
aos,7.149293985138361
maria,7.128907724457336
ele,7.110726926272306
sobre,7.0999504552271135
casa,7.0800549925504646
tem,7.076853871912773
by,7.0749564163077485
por,7.070226140082752
ou,7.019114566336256
vai,7.0127555971411475
julho,6.9972002984793225
março,6.968894255137568
junho,6.942268658344717
silva,6.938963876423069
ser,6.919970353679539
infantil,6.9183822403187145
ao,6.889580808552823
agosto,6.885581713341179
me,6.8707391060869245
dezembro,6.869391264326768
fevereiro,6.830455807853894
abril,6.818144018584381
if,6.807038614340407
we,6.794012754665328
setembro,6.786561830359989
